"codigo";"cod_pri";"primario";"secundario";"descricao"
"14";"14";"DIREITO TRIBUTÁRIO";"DIREITO TRIBUTÁRIO";"DIREITO TRIBUTÁRIO"
"195";"195";"DIREITO PREVIDENCIÁRIO";"DIREITO PREVIDENCIÁRIO";"DIREITO PREVIDENCIÁRIO"
"287";"287";"DIREITO PENAL";"DIREITO PENAL";"DIREITO PENAL"
"864";"864";"DIREITO DO TRABALHO";"DIREITO DO TRABALHO";"DIREITO DO TRABALHO"
"899";"899";"DIREITO CIVIL";"DIREITO CIVIL";"DIREITO CIVIL"
"1146";"1146";"DIREITO MARÍTIMO";"DIREITO MARÍTIMO";"DIREITO MARÍTIMO"
"1156";"1156";"DIREITO DO CONSUMIDOR";"DIREITO DO CONSUMIDOR";"DIREITO DO CONSUMIDOR"
"1209";"1209";"DIREITO PROCESSUAL PENAL";"DIREITO PROCESSUAL PENAL";"DIREITO PROCESSUAL PENAL"
"1654";"864";"DIREITO DO TRABALHO";"Contrato Individual de Trabalho";"Contrato Individual de Trabalho"
"1658";"864";"DIREITO DO TRABALHO";"Duração do Trabalho";"Duração do Trabalho"
"1661";"864";"DIREITO DO TRABALHO";"Duração do Trabalho";"Horas In Itinere"
"1663";"864";"DIREITO DO TRABALHO";"Duração do Trabalho";"Adicional Noturno"
"1666";"864";"DIREITO DO TRABALHO";"Remuneração, Verbas Indenizatórias e Benefícios";"Adicional  | Insalubridade"
"1681";"864";"DIREITO DO TRABALHO";"Remuneração, Verbas Indenizatórias e Benefícios";"Adicional  | Periculosidade"
"1690";"864";"DIREITO DO TRABALHO";"Direito Sindical e Questões Análogas";" Contribuição / Taxa Assistencial"
"1691";"864";"DIREITO DO TRABALHO";"Direito Sindical e Questões Análogas";" Contribuição Confederativa"
"1695";"864";"DIREITO DO TRABALHO";"Acordo e Convenção Coletivos de Trabalho";"Acordo e Convenção Coletivos de Trabalho"
"1697";"864";"DIREITO DO TRABALHO";"Direito Sindical e Questões Análogas";"Direito Sindical e Questões Análogas"
"1703";"864";"DIREITO DO TRABALHO";"Direito Sindical e Questões Análogas";" Eleição"
"1705";"864";"DIREITO DO TRABALHO";"Direito Sindical e Questões Análogas";" Registro de Entidade Sindical"
"1721";"864";"DIREITO DO TRABALHO";"Remuneração, Verbas Indenizatórias e Benefícios";"Salário / Diferença Salarial | Salário In Natura"
"1723";"864";"DIREITO DO TRABALHO";"Responsabilidade Civil do Empregador";"Indenizaçao por Dano Moral | Assédio Moral"
"1724";"864";"DIREITO DO TRABALHO";"Responsabilidade Civil do Empregador";"Indenizaçao por Dano Moral | Assédio Sexual"
"1767";"864";"DIREITO DO TRABALHO";"Remuneração, Verbas Indenizatórias e Benefícios";"Cesta Básica"
"1773";"864";"DIREITO DO TRABALHO";"Direito Sindical e Questões Análogas";"Contribuição Sindical"
"1783";"864";"DIREITO DO TRABALHO";"Remuneração, Verbas Indenizatórias e Benefícios";"Comissão"
"1789";"864";"DIREITO DO TRABALHO";"Remuneração, Verbas Indenizatórias e Benefícios";"Complemento Temporário Variável de Ajuste ao Piso de Mercado"
"1806";"864";"DIREITO DO TRABALHO";"Contrato Individual de Trabalho";"Alteração Contratual ou das Condições de Trabalho"
"1807";"864";"DIREITO DO TRABALHO";"Contrato Individual de Trabalho";"Contrato Por Prazo Determinado | Contrato de Experiência - Nulidade"
"1814";"864";"DIREITO DO TRABALHO";"Contrato Individual de Trabalho";"Administração Pública | Contrato Nulo"
"1816";"864";"DIREITO DO TRABALHO";"Contrato Individual de Trabalho";"Contrato Por Prazo Determinado"
"1822";"864";"DIREITO DO TRABALHO";"Contrato Individual de Trabalho";"Administração Pública | Contrato Temporário"
"1844";"864";"DIREITO DO TRABALHO";"Contrato Individual de Trabalho";"CTPS"
"1849";"864";"DIREITO DO TRABALHO";"Rescisão do Contrato de Trabalho";"Culpa Recíproca"
"1855";"864";"DIREITO DO TRABALHO";"Responsabilidade Civil do Empregador";"Indenizaçao por Dano Moral"
"1888";"864";"DIREITO DO TRABALHO";"Remuneração, Verbas Indenizatórias e Benefícios";"Descontos Salariais - Devolução"
"1904";"864";"DIREITO DO TRABALHO";"Rescisão do Contrato de Trabalho";"Despedida / Dispensa Imotivada"
"1907";"864";"DIREITO DO TRABALHO";"Rescisão do Contrato de Trabalho";"Justa Causa / Falta Grave"
"1920";"864";"DIREITO DO TRABALHO";"Remuneração, Verbas Indenizatórias e Benefícios";"Diárias"
"1929";"864";"DIREITO DO TRABALHO";"Rescisão do Contrato de Trabalho";"Reintegração / Readmissão ou Indenização | Dirigente Sindical"
"1932";"864";"DIREITO DO TRABALHO";"Contrato Individual de Trabalho";"Alteração Contratual ou das Condições de Trabalho | Reversão / Retorno ao Cargo Efetivo"
"1937";"864";"DIREITO DO TRABALHO";"Responsabilidade Solidária / Subsidiária";"Responsabilidade Solidária / Subsidiária"
"1957";"864";"DIREITO DO TRABALHO";"Contrato Individual de Trabalho";"PIS / RAIS"
"1965";"864";"DIREITO DO TRABALHO";"Rescisão do Contrato de Trabalho";"Reintegração / Readmissão ou Indenização |  Empregado Público"
"1966";"864";"DIREITO DO TRABALHO";"Rescisão do Contrato de Trabalho";"Reintegração / Readmissão ou Indenização |  Portador de HIV"
"1976";"864";"DIREITO DO TRABALHO";"Rescisão do Contrato de Trabalho";"Reintegração / Readmissão ou Indenização | Contrato Suspenso"
"1977";"864";"DIREITO DO TRABALHO";"Rescisão do Contrato de Trabalho";"Reintegração / Readmissão ou Indenização | Estabilidade decorrente de Norma Coletiva"
"1978";"864";"DIREITO DO TRABALHO";"Rescisão do Contrato de Trabalho";"Reintegração / Readmissão ou Indenização |  Gestante"
"1981";"864";"DIREITO DO TRABALHO";"Rescisão do Contrato de Trabalho";"Reintegração / Readmissão ou Indenização |  Membro da Cipa"
"1998";"864";"DIREITO DO TRABALHO";"Rescisão do Contrato de Trabalho";"Verbas Rescisórias | Multa de 40% do FGTS"
"2019";"864";"DIREITO DO TRABALHO";"Férias";"Fruição / Gozo "
"2021";"864";"DIREITO DO TRABALHO";"Férias";"Indenização / Terço Constitucional"
"2029";"864";"DIREITO DO TRABALHO";"Contrato Individual de Trabalho";"FGTS mas em outro ramo na árvore da justiça do trabalho"
"2031";"864";"DIREITO DO TRABALHO";"Contrato Individual de Trabalho";"FGTS mas em outro ramo na árvore da justiça do trabalho | Correção Monetária"
"2033";"864";"DIREITO DO TRABALHO";"Contrato Individual de Trabalho";"FGTS mas em outro ramo na árvore da justiça do trabalho | Depósito / Diferença de Recolhimento"
"2037";"864";"DIREITO DO TRABALHO";"Contrato Individual de Trabalho";"FGTS mas em outro ramo na árvore da justiça do trabalho | Levantamento / Liberação"
"2055";"864";"DIREITO DO TRABALHO";"Remuneração, Verbas Indenizatórias e Benefícios";"Gratificação"
"2086";"864";"DIREITO DO TRABALHO";"Duração do Trabalho";"Horas Extras"
"2116";"864";"DIREITO DO TRABALHO";"Duração do Trabalho";"Sobreaviso"
"2117";"864";"DIREITO DO TRABALHO";"Remuneração, Verbas Indenizatórias e Benefícios";"Supressão de Horas Extras Habituais - Indenização"
"2133";"864";"DIREITO DO TRABALHO";"Contrato Individual de Trabalho";"Inquérito Administrativo"
"2135";"864";"DIREITO DO TRABALHO";"Sentença Normativa";"Sentença Normativa"
"2139";"864";"DIREITO DO TRABALHO";"Duração do Trabalho";"Intervalo Interjornada"
"2140";"864";"DIREITO DO TRABALHO";"Duração do Trabalho";"Intervalo Intrajornada"
"2141";"864";"DIREITO DO TRABALHO";"Duração do Trabalho";"Adicional de Hora Extra"
"2210";"864";"DIREITO DO TRABALHO";"Rescisão do Contrato de Trabalho";"Verbas Rescisórias | Multa do Artigo 467 da CLT"
"2212";"864";"DIREITO DO TRABALHO";"Rescisão do Contrato de Trabalho";"Verbas Rescisórias | Multa do Artigo 477 da CLT"
"2215";"864";"DIREITO DO TRABALHO";"Remuneração, Verbas Indenizatórias e Benefícios";"Multa Prevista em Norma Coletiva"
"2233";"864";"DIREITO DO TRABALHO";"Contrato Individual de Trabalho";"Contratação de Reabilitados e Deficientes Habilitados"
"2243";"864";"DIREITO DO TRABALHO";"Rescisão do Contrato de Trabalho";"Plano de Demissão Voluntária"
"2266";"864";"DIREITO DO TRABALHO";"Contrato Individual de Trabalho";"Administração Pública | Contratação em Período Eleitoral"
"2273";"864";"DIREITO DO TRABALHO";"Remuneração, Verbas Indenizatórias e Benefícios";"PIS - Indenização"
"2275";"864";"DIREITO DO TRABALHO";"Remuneração, Verbas Indenizatórias e Benefícios";"Salário / Diferença Salarial | Piso Salarial da Categoria / Salário Mínimo Profissional"
"2331";"864";"DIREITO DO TRABALHO";"Remuneração, Verbas Indenizatórias e Benefícios";"Prêmio"
"2349";"864";"DIREITO DO TRABALHO";"Remuneração, Verbas Indenizatórias e Benefícios";"Contribuição de Previdência Privada - Resgate"
"2364";"864";"DIREITO DO TRABALHO";"Remuneração, Verbas Indenizatórias e Benefícios";"Plano de Saúde"
"2409";"864";"DIREITO DO TRABALHO";"Contrato Individual de Trabalho";"Enquadramento / Classificação"
"2421";"864";"DIREITO DO TRABALHO";"Contrato Individual de Trabalho";"Reintegração de Posse - Despejo"
"2426";"864";"DIREITO DO TRABALHO";"Duração do Trabalho";"Repouso Semanal Remunerado e Feriado"
"2435";"864";"DIREITO DO TRABALHO";"Rescisão do Contrato de Trabalho";"Rescisão Indireta"
"2445";"864";"DIREITO DO TRABALHO";"Contrato Individual de Trabalho";"Alteração Contratual ou das Condições de Trabalho | Alteração / Revogação de Regulamento da Empresa"
"2449";"864";"DIREITO DO TRABALHO";"Remuneração, Verbas Indenizatórias e Benefícios";"Salário / Diferença Salarial | Reajuste Salarial"
"2450";"864";"DIREITO DO TRABALHO";"Remuneração, Verbas Indenizatórias e Benefícios";"Gorjeta"
"2452";"864";"DIREITO DO TRABALHO";"Remuneração, Verbas Indenizatórias e Benefícios";"Salário / Diferença Salarial | Salário Vencido / Retido"
