"codigo";"primario";"descricao"
"1";"Magistrado";"Magistrado"
"3";"Decisão";"Decisão"
"7";"Decisão";"Conversão"
"11";"Decisão";"Declaração"
"14";"Serventuário";"Serventuário"
"15";"Contador";"Contador"
"16";"Contador";"Cálculo"
"18";"Distribuidor";"Distribuidor"
"22";"Distribuidor";"Baixa Definitiva"
"25";"Decisão";"Suspensão ou Sobrestamento"
"26";"Distribuidor";"Distribuição"
"36";"Distribuidor";"Redistribuição"
"48";"Escrivão/Diretor de Secretaria/Secretário Jurídico";"Escrivão/Diretor de Secretaria/Secretário Jurídico"
"51";"Escrivão/Diretor de Secretaria/Secretário Jurídico";"Conclusão"
"56";"Decisão";"Requisição de informações"
"60";"Escrivão/Diretor de Secretaria/Secretário Jurídico";"Expedição de documento"
"63";"Decisão";"Ordenação de entrega de autos"
"67";"Escrivão/Diretor de Secretaria/Secretário Jurídico";"Juntada"
"83";"Decisão";"Cancelamento da distribuição"
"85";"Escrivão/Diretor de Secretaria/Secretário Jurídico";"Juntada | Petição"
"92";"Escrivão/Diretor de Secretaria/Secretário Jurídico";"Publicação"
"104";"Oficial de Justiça";"Oficial de Justiça"
"105";"Oficial de Justiça";"Devolução"
"106";"Oficial de Justiça";"Devolução | Mandado"
"108";"Decisão";"Decretação de Prisão Criminal"
"112";"Oficial de Justiça";"Devolução | Ofício"
"113";"Decisão";"Decretação de Prisão Civil"
"115";"Oficial de Justiça";"Recebimento"
"117";"Decisão";"Decretação de Internação"
"118";"Escrivão/Diretor de Secretaria/Secretário Jurídico";"Protocolo de Petição"
"122";"Decisão";"Desacolhimento de Prisão"
"123";"Escrivão/Diretor de Secretaria/Secretário Jurídico";"Remessa"
"128";"Decisão";"Revogação | Prisão"
"132";"Escrivão/Diretor de Secretaria/Secretário Jurídico";"Recebimento"
"133";"Decisão";"Acolhimento de exceção"
"135";"Escrivão/Diretor de Secretaria/Secretário Jurídico";"Apensamento"
"137";"Escrivão/Diretor de Secretaria/Secretário Jurídico";"Desapensamento"
"138";"Decisão";"Rejeição"
"146";"Decisão";"Não-Homologação de prisão em flagrante"
"151";"Decisão";"Concessão de efeito suspensivo"
"157";"Decisão";"Revogação"
"160";"Decisão";"Recebimento"
"163";"Decisão";"Não-Recebimento"
"172";"Decisão";"Deliberação da partilha"
"175";"Decisão";"Homologação | Prisão em flagrante"
"190";"Decisão";"Reforma de decisão anterior"
"193";"Julgamento";"Julgamento"
"196";"Julgamento";"Com Resolução do Mérito | Extinção da execução ou do cumprimento da sentença"
"198";"Julgamento";"Com Resolução do Mérito | Acolhimento de Embargos de Declaração"
"200";"Julgamento";"Com Resolução do Mérito | Não-Acolhimento de Embargos de Declaração"
"202";"Julgamento";"Com Resolução do Mérito | Decretação de falência"
"206";"Decisão";"Admissão"
"207";"Decisão";"Não-Admissão"
"208";"Julgamento";"Com Resolução do Mérito | Não-Decretação de Falência"
"210";"Julgamento";"Com Resolução do Mérito | Concessão"
"212";"Julgamento";"Com Resolução do Mérito | Denegação"
"214";"Julgamento";"Com Resolução do Mérito | Concessão em Parte"
"218";"Julgamento";"Sem Resolução de Mérito"
"219";"Julgamento";"Com Resolução do Mérito | Procedência"
"220";"Julgamento";"Com Resolução do Mérito | Improcedência"
"221";"Julgamento";"Com Resolução do Mérito | Procedência em Parte"
"228";"Julgamento";"Sem Resolução de Mérito | Arquivamento"
"230";"Julgamento";"Sem Resolução de Mérito | Recurso prejudicado"
"235";"Julgamento";"Sem Resolução de Mérito | Não Conhecimento de recurso"
"236";"Julgamento";"Sem Resolução de Mérito | Negação de Seguimento"
"237";"Julgamento";"Com Resolução do Mérito | Provimento"
"238";"Julgamento";"Com Resolução do Mérito | Provimento em Parte"
"239";"Julgamento";"Com Resolução do Mérito | Não-Provimento"
"240";"Julgamento";"Com Resolução do Mérito | Conhecimento em Parte e Provimento"
"241";"Julgamento";"Com Resolução do Mérito | Conhecimento em Parte e Provimento em Parte"
"242";"Julgamento";"Com Resolução do Mérito | Conhecimento em Parte e Não-Provimento"
"244";"Julgamento";"Sem Resolução de Mérito | Conversão de Agravo de Instrumento em Agravo Retido"
"245";"Escrivão/Diretor de Secretaria/Secretário Jurídico";"Arquivamento | Provisório"
"246";"Escrivão/Diretor de Secretaria/Secretário Jurídico";"Arquivamento | Definitivo"
"263";"Decisão";"Suspensão ou Sobrestamento | Réu revel citado por edital "
"264";"Decisão";"Suspensão ou Sobrestamento | Suspensão Condicional do Processo"
"265";"Decisão";"Suspensão ou Sobrestamento | Recurso Extraordinário com repercussão geral"
"266";"Decisão";"Conversão | Julgamento em Diligência"
"268";"Decisão";"Suspensão ou Sobrestamento | Morte ou perda da capacidade"
"269";"Decisão";"Declaração | Impedimento ou Suspeição"
"270";"Decisão";"Suspensão ou Sobrestamento | Convenção das Partes"
"271";"Decisão";"Suspensão ou Sobrestamento | Exceção de Incompetência, suspeição ou Impedimento"
"272";"Decisão";"Suspensão ou Sobrestamento | A depender do julgamento de outra causa, de outro juízo ou declaração incidente"
"275";"Decisão";"Suspensão ou Sobrestamento | Força maior"
"276";"Decisão";"Suspensão ou Sobrestamento | Execução frustrada"
